university_name,source_type,source_url,notes,last_verified
Aalto University,Organization pages,https://www.aalto.fi/en/inside-aalto/aalto-university-schools-and-departments,Official Aalto schools and departments listing.,2026-03-14
University of Helsinki,Faculty pages,https://www.helsinki.fi/en/faculties,Official Helsinki faculty listing used for faculty-level rows.,2026-03-14
University of Helsinki,Faculty of Science,https://www.helsinki.fi/en/faculties/faculty-science,Official faculty page used for department-level rows in science.,2026-03-14
Tampere University,Faculties page,https://www.tuni.fi/en/about-us/faculties,Official Tampere faculties listing.,2026-03-14
Tampere University,Faculty unit pages,https://www.tuni.fi/en/about-us/faculties-and-units/faculty-social-sciences,Official faculty units listing for Social Sciences.,2026-03-14
Tampere University,Faculty unit pages,https://www.tuni.fi/en/about-us/faculties-and-units/faculty-engineering-and-natural-sciences,Official faculty units listing for Engineering and Natural Sciences.,2026-03-14
University of Turku,Faculties page,https://www.utu.fi/en/university/faculties,Official faculty listing.,2026-03-14
University of Turku,Faculty of Science,https://www.utu.fi/en/university/faculties/faculty-of-science,Official department listing used for science rows.,2026-03-14
University of Turku,Faculty of Technology,https://www.utu.fi/en/university/faculties/faculty-of-technology,Official department listing used for technology rows.,2026-03-14
University of Oulu,Faculties and units,https://www.oulu.fi/en/university/faculties-and-units,Official Oulu faculties and units page.,2026-03-14
University of Oulu,Research units,https://www.oulu.fi/en/research/research-units,Official research units index used for unit-level rows.,2026-03-14
LUT University,LUT schools,https://www.lut.fi/en/about-us/lut-schools,Official LUT schools listing.,2026-03-14
University of Eastern Finland,Organisation page,https://www.uef.fi/en/organisation,Official UEF organization listing used for faculties and schools.,2026-03-14
University of Jyvaskyla,Faculties page,https://www.jyu.fi/en/education/faculties,Official JYU faculty listing.,2026-03-14
University of Jyvaskyla,Faculty pages,https://www.jyu.fi/en/education/faculties/faculty-of-information-technology,Official JYU faculty page used for FIT unit rows.,2026-03-14
University of Vaasa,Organization page,https://www.uwasa.fi/en/about/organization,Official University of Vaasa organization listing.,2026-03-14
Hanken School of Economics,Departments and centres,https://www.hanken.fi/en/departments-and-centres,Official Hanken departments listing.,2026-03-14
Abo Akademi University,Faculty structure announcement,https://www.abo.fi/en/news/faculties-at-abo-akademi-university-from-january-1-2025/,Official Abo Akademi faculty structure announcement.,2026-03-14
Abo Akademi University,Department page,https://www.abo.fi/en/about-abo-akademi-university/organisation/faculty-of-social-sciences-business-and-economics-and-law/department-of-business-and-economics/,Official department page used for department-level validation.,2026-03-14
