"university_name","unit_type","unit_name","parent_unit","campus_or_city","focus_areas","official_url","notes","last_verified"
"Aalto University","School","School of Arts, Design and Architecture","","Espoo","Art; Design; Architecture; Media","https://www.aalto.fi/en/school-of-arts-design-and-architecture","Official Aalto school page.","2026-03-14"
"Aalto University","Department","Department of Architecture","School of Arts, Design and Architecture","Espoo","Architecture","https://www.aalto.fi/en/department-of-architecture","Official Aalto department page.","2026-03-14"
"Aalto University","Department","Department of Art and Media","School of Arts, Design and Architecture","Espoo","Art; Media; Visual culture","https://www.aalto.fi/en/department-of-art-and-media","Official Aalto department page.","2026-03-14"
"Aalto University","Department","Department of Design","School of Arts, Design and Architecture","Espoo","Design","https://www.aalto.fi/en/department-of-design","Official Aalto department page.","2026-03-14"
"Aalto University","Department","Department of Film","School of Arts, Design and Architecture","Espoo","Film; Television; Scenography","https://www.aalto.fi/en/department-of-film","Official Aalto department page.","2026-03-14"
"Aalto University","School","School of Business","","Espoo","Business; Economics; Management","https://www.aalto.fi/en/school-of-business","Official Aalto school page.","2026-03-14"
"Aalto University","Department","Department of Accounting and Business Law","School of Business","Espoo","Accounting; Business law","https://www.aalto.fi/en/department-of-accounting-and-business-law","Official Aalto department page.","2026-03-14"
"Aalto University","Department","Department of Economics","School of Business","Espoo","Economics","https://www.aalto.fi/en/department-of-economics","Official Aalto department page.","2026-03-14"
"Aalto University","Department","Department of Finance","School of Business","Espoo","Finance","https://www.aalto.fi/en/department-of-finance","Official Aalto department page.","2026-03-14"
"Aalto University","Department","Department of Information and Service Management","School of Business","Espoo","Information systems; Service management","https://www.aalto.fi/en/department-of-information-and-service-management","Official Aalto department page.","2026-03-14"
"Aalto University","Department","Department of Management Studies","School of Business","Espoo","Management; Organization","https://www.aalto.fi/en/department-of-management-studies","Official Aalto department page.","2026-03-14"
"Aalto University","Department","Department of Marketing","School of Business","Espoo","Marketing","https://www.aalto.fi/en/department-of-marketing","Official Aalto department page.","2026-03-14"
"Aalto University","School","School of Chemical Engineering","","Espoo","Chemical engineering; Materials; Bioproducts","https://www.aalto.fi/en/school-of-chemical-engineering","Official Aalto school page.","2026-03-14"
"Aalto University","Department","Department of Bioproducts and Biosystems","School of Chemical Engineering","Espoo","Bioproducts; Biosystems","https://www.aalto.fi/en/department-of-bioproducts-and-biosystems","Official Aalto department page.","2026-03-14"
"Aalto University","Department","Department of Chemistry and Materials Science","School of Chemical Engineering","Espoo","Chemistry; Materials science","https://www.aalto.fi/en/department-of-chemistry-and-materials-science","Official Aalto department page.","2026-03-14"
"Aalto University","Department","Department of Chemical and Metallurgical Engineering","School of Chemical Engineering","Espoo","Chemical engineering; Metallurgy","https://www.aalto.fi/en/department-of-chemical-and-metallurgical-engineering","Official Aalto department page.","2026-03-14"
"Aalto University","School","School of Electrical Engineering","","Espoo","Electrical engineering; Electronics; Automation","https://www.aalto.fi/en/school-of-electrical-engineering","Official Aalto school page.","2026-03-14"
"Aalto University","School","School of Engineering","","Espoo","Engineering; Built environment; Energy","https://www.aalto.fi/en/school-of-engineering","Official Aalto school page.","2026-03-14"
"Aalto University","Department","Department of Built Environment","School of Engineering","Espoo","Built environment; Real estate; Water","https://www.aalto.fi/en/department-of-built-environment","Official Aalto department page.","2026-03-14"
"Aalto University","Department","Department of Civil Engineering","School of Engineering","Espoo","Civil engineering","https://www.aalto.fi/en/department-of-civil-engineering","Official Aalto department page.","2026-03-14"
"Aalto University","Department","Department of Energy and Mechanical Engineering","School of Engineering","Espoo","Energy; Mechanical engineering","https://www.aalto.fi/en/department-of-energy-and-mechanical-engineering","Official Aalto department page.","2026-03-14"
"Aalto University","School","School of Science","","Espoo","Computer science; Mathematics; Physics; Industrial engineering","https://www.aalto.fi/en/school-of-science","Official Aalto school page.","2026-03-14"
"Aalto University","Department","Department of Applied Physics","School of Science","Espoo","Applied physics","https://www.aalto.fi/en/department-of-applied-physics","Official Aalto department page.","2026-03-14"
"Aalto University","Department","Department of Computer Science","School of Science","Espoo","Computer science","https://www.aalto.fi/en/department-of-computer-science","Official Aalto department page.","2026-03-14"
"Aalto University","Department","Department of Industrial Engineering and Management","School of Science","Espoo","Industrial engineering; Management","https://www.aalto.fi/en/department-of-industrial-engineering-and-management","Official Aalto department page.","2026-03-14"
"Aalto University","Department","Department of Mathematics and Systems Analysis","School of Science","Espoo","Mathematics; Systems analysis","https://www.aalto.fi/en/department-of-mathematics-and-systems-analysis","Official Aalto department page.","2026-03-14"
"Aalto University","Department","Department of Neuroscience and Biomedical Engineering","School of Science","Espoo","Neuroscience; Biomedical engineering","https://www.aalto.fi/en/department-of-neuroscience-and-biomedical-engineering","Official Aalto department page.","2026-03-14"
