"university_name","unit_type","unit_name","parent_unit","campus_or_city","focus_areas","official_url","notes","last_verified"
"Tampere University","Faculty","Faculty of Built Environment","","Tampere","Architecture; Civil engineering; Built environment","https://www.tuni.fi/en/about-us/faculties","Official faculties page.","2026-03-14"
"Tampere University","Faculty","Faculty of Education and Culture","","Tampere","Education; Humanities; Languages","https://www.tuni.fi/en/about-us/faculties","Official faculties page.","2026-03-14"
"Tampere University","Faculty","Faculty of Information Technology and Communication Sciences","","Tampere","Computing; Media; Information studies","https://www.tuni.fi/en/about-us/faculties","Official faculties page.","2026-03-14"
"Tampere University","Faculty","Faculty of Engineering and Natural Sciences","","Tampere","Engineering; Natural sciences","https://www.tuni.fi/en/about-us/faculties","Official faculties page.","2026-03-14"
"Tampere University","Faculty","Faculty of Management and Business","","Tampere","Management; Economics; Administrative sciences","https://www.tuni.fi/en/about-us/faculties","Official faculties page.","2026-03-14"
"Tampere University","Faculty","Faculty of Medicine and Health Technology","","Tampere","Medicine; Health technology","https://www.tuni.fi/en/about-us/faculties","Official faculties page.","2026-03-14"
"Tampere University","Faculty","Faculty of Social Sciences","","Tampere","Social sciences; Psychology; Health sciences","https://www.tuni.fi/en/about-us/faculties","Official faculties page.","2026-03-14"
"Tampere University","Unit","History, Philosophy and Literary Studies","Faculty of Social Sciences","Tampere","History; Philosophy; Literature","https://www.tuni.fi/en/about-us/faculties-and-units/faculty-social-sciences","Official faculty unit list.","2026-03-14"
"Tampere University","Unit","Social Research","Faculty of Social Sciences","Tampere","Social research","https://www.tuni.fi/en/about-us/faculties-and-units/faculty-social-sciences","Official faculty unit list.","2026-03-14"
"Tampere University","Unit","Welfare Sciences","Faculty of Social Sciences","Tampere","Social work; Welfare","https://www.tuni.fi/en/about-us/faculties-and-units/faculty-social-sciences","Official faculty unit list.","2026-03-14"
"Tampere University","Unit","Health Sciences","Faculty of Social Sciences","Tampere","Health sciences","https://www.tuni.fi/en/about-us/faculties-and-units/faculty-social-sciences","Official faculty unit list.","2026-03-14"
"Tampere University","Unit","Automation Technology and Mechanical Engineering","Faculty of Engineering and Natural Sciences","Tampere","Automation; Mechanical engineering","https://www.tuni.fi/en/about-us/faculties-and-units/faculty-engineering-and-natural-sciences","Official faculty unit list.","2026-03-14"
"Tampere University","Unit","Materials Science and Environmental Engineering","Faculty of Engineering and Natural Sciences","Tampere","Materials science; Environmental engineering","https://www.tuni.fi/en/about-us/faculties-and-units/faculty-engineering-and-natural-sciences","Official faculty unit list.","2026-03-14"
"Tampere University","Unit","Physics","Faculty of Engineering and Natural Sciences","Tampere","Physics","https://www.tuni.fi/en/about-us/faculties-and-units/faculty-engineering-and-natural-sciences","Official faculty unit list.","2026-03-14"
