"university_name","unit_type","unit_name","parent_unit","campus_or_city","focus_areas","official_url","notes","last_verified"
"University of Helsinki","Faculty","Faculty of Agriculture and Forestry","","Helsinki","Agriculture; Forestry; Food sciences","https://www.helsinki.fi/en/faculties/faculty-agriculture-and-forestry","Official university faculty page.","2026-03-14"
"University of Helsinki","Faculty","Faculty of Arts","","Helsinki","Arts","https://www.helsinki.fi/en/faculties/faculty-arts","Official university faculty page.","2026-03-14"
"University of Helsinki","Faculty","Faculty of Biological and Environmental Sciences","","Helsinki","Biology; Environmental sciences","https://www.helsinki.fi/en/faculties/faculty-biological-and-environmental-sciences","Official university faculty page.","2026-03-14"
"University of Helsinki","Department","Department of Environmental Sciences","Faculty of Biological and Environmental Sciences","Helsinki","Environmental sciences","https://www.helsinki.fi/en/faculties/faculty-biological-and-environmental-sciences","Department listed on official faculty organization page.","2026-03-14"
"University of Helsinki","Faculty","Faculty of Educational Sciences","","Helsinki","Education","https://www.helsinki.fi/en/faculties/faculty-educational-sciences","Official university faculty page.","2026-03-14"
"University of Helsinki","Faculty","Faculty of Law","","Helsinki","Law","https://www.helsinki.fi/en/faculties/faculty-law","Official university faculty page.","2026-03-14"
"University of Helsinki","Faculty","Faculty of Medicine","","Helsinki","Medicine","https://www.helsinki.fi/en/faculties/faculty-medicine","Official university faculty page.","2026-03-14"
"University of Helsinki","Faculty","Faculty of Pharmacy","","Helsinki","Pharmacy","https://www.helsinki.fi/en/faculties/faculty-pharmacy","Official university faculty page.","2026-03-14"
"University of Helsinki","Faculty","Faculty of Science","","Helsinki","Computer science; Physics; Mathematics; Chemistry","https://www.helsinki.fi/en/faculties/faculty-science","Official university faculty page.","2026-03-14"
"University of Helsinki","Department","Department of Computer Science","Faculty of Science","Helsinki","Computer science","https://www.helsinki.fi/en/faculties/faculty-science/faculty/department-computer-science","Official department page.","2026-03-14"
"University of Helsinki","Department","Department of Physics","Faculty of Science","Helsinki","Physics","https://www.helsinki.fi/en/faculties/faculty-science/faculty/department-physics","Official department page.","2026-03-14"
"University of Helsinki","Department","Department of Chemistry","Faculty of Science","Helsinki","Chemistry","https://www.helsinki.fi/en/faculties/faculty-science/faculty/department-chemistry","Official department page.","2026-03-14"
"University of Helsinki","Department","Department of Geosciences and Geography","Faculty of Science","Helsinki","Geosciences; Geography","https://www.helsinki.fi/en/faculties/faculty-science/faculty/department-geosciences-and-geography","Official department page.","2026-03-14"
"University of Helsinki","Department","Department of Mathematics and Statistics","Faculty of Science","Helsinki","Mathematics; Statistics","https://www.helsinki.fi/en/faculties/faculty-science/faculty/department-mathematics-and-statistics","Official department page.","2026-03-14"
"University of Helsinki","Faculty","Faculty of Social Sciences","","Helsinki","Social sciences","https://www.helsinki.fi/en/faculties/faculty-social-sciences","Official university faculty page.","2026-03-14"
"University of Helsinki","Faculty","Faculty of Theology","","Helsinki","Theology","https://www.helsinki.fi/en/faculties/faculty-theology","Official university faculty page.","2026-03-14"
"University of Helsinki","Faculty","Faculty of Veterinary Medicine","","Helsinki","Veterinary medicine","https://www.helsinki.fi/en/faculties/faculty-veterinary-medicine","Official university faculty page.","2026-03-14"
