"university_name","unit_type","unit_name","parent_unit","campus_or_city","focus_areas","official_url","notes","last_verified"
"University of Jyvaskyla","Faculty","Faculty of Education and Psychology","","Jyvaskyla","Education; Psychology","https://www.jyu.fi/en/education/faculties","Official faculties page.","2026-03-14"
"University of Jyvaskyla","Faculty","Faculty of Humanities and Social Sciences","","Jyvaskyla","Humanities; Social sciences","https://www.jyu.fi/en/education/faculties","Official faculties page.","2026-03-14"
"University of Jyvaskyla","Department","Department of History and Ethnology","Faculty of Humanities and Social Sciences","Jyvaskyla","History; Ethnology","https://www.jyu.fi/en/education/faculties/faculty-of-humanities-and-social-sciences","Listed on official faculty page.","2026-03-14"
"University of Jyvaskyla","Department","Department of Language and Communication Studies","Faculty of Humanities and Social Sciences","Jyvaskyla","Languages; Communication","https://www.jyu.fi/en/education/faculties/faculty-of-humanities-and-social-sciences","Listed on official faculty page.","2026-03-14"
"University of Jyvaskyla","Department","Department of Music, Art and Culture Studies","Faculty of Humanities and Social Sciences","Jyvaskyla","Music; Art; Culture","https://www.jyu.fi/en/education/faculties/faculty-of-humanities-and-social-sciences","Listed on official faculty page.","2026-03-14"
"University of Jyvaskyla","Department","Department of Social Sciences and Philosophy","Faculty of Humanities and Social Sciences","Jyvaskyla","Social sciences; Philosophy","https://www.jyu.fi/en/education/faculties/faculty-of-humanities-and-social-sciences","Listed on official faculty page.","2026-03-14"
"University of Jyvaskyla","Faculty","Faculty of Information Technology","","Jyvaskyla","Information systems; Software engineering; Data science","https://www.jyu.fi/en/education/faculties/faculty-of-information-technology","Official faculty page.","2026-03-14"
"University of Jyvaskyla","Unit","Information Systems Science","Faculty of Information Technology","Jyvaskyla","Information systems","https://www.jyu.fi/en/education/faculties/faculty-of-information-technology","Listed on official faculty page.","2026-03-14"
"University of Jyvaskyla","Unit","Software Engineering","Faculty of Information Technology","Jyvaskyla","Software engineering","https://www.jyu.fi/en/education/faculties/faculty-of-information-technology","Listed on official faculty page.","2026-03-14"
"University of Jyvaskyla","Unit","Learning and Cognitive Systems","Faculty of Information Technology","Jyvaskyla","Learning systems; Cognitive systems","https://www.jyu.fi/en/education/faculties/faculty-of-information-technology","Listed on official faculty page.","2026-03-14"
"University of Jyvaskyla","Unit","Computational Sciences","Faculty of Information Technology","Jyvaskyla","Computational sciences; Data science","https://www.jyu.fi/en/education/faculties/faculty-of-information-technology","Listed on official faculty page.","2026-03-14"
"University of Jyvaskyla","Faculty","Faculty of Mathematics and Science","","Jyvaskyla","Mathematics; Science","https://www.jyu.fi/en/education/faculties","Official faculties page.","2026-03-14"
"University of Jyvaskyla","Department","Department of Biological and Environmental Science","Faculty of Mathematics and Science","Jyvaskyla","Biology; Environmental science","https://www.jyu.fi/en/education/faculties/faculty-of-mathematics-and-science","Listed on official faculty page.","2026-03-14"
"University of Jyvaskyla","Department","Department of Chemistry","Faculty of Mathematics and Science","Jyvaskyla","Chemistry","https://www.jyu.fi/en/education/faculties/faculty-of-mathematics-and-science","Listed on official faculty page.","2026-03-14"
"University of Jyvaskyla","Department","Department of Physics","Faculty of Mathematics and Science","Jyvaskyla","Physics","https://www.jyu.fi/en/education/faculties/faculty-of-mathematics-and-science","Listed on official faculty page.","2026-03-14"
"University of Jyvaskyla","Department","Department of Mathematics and Statistics","Faculty of Mathematics and Science","Jyvaskyla","Mathematics; Statistics","https://www.jyu.fi/en/education/faculties/faculty-of-mathematics-and-science","Listed on official faculty page.","2026-03-14"
"University of Jyvaskyla","Faculty","School of Business and Economics","","Jyvaskyla","Business; Economics","https://www.jyu.fi/en/education/faculties","Official faculties page.","2026-03-14"
"University of Jyvaskyla","Faculty","Faculty of Sport and Health Sciences","","Jyvaskyla","Sport sciences; Health sciences","https://www.jyu.fi/en/education/faculties","Official faculties page.","2026-03-14"
