"university_name","unit_type","unit_name","parent_unit","campus_or_city","focus_areas","official_url","notes","last_verified"
"University of Oulu","Faculty","Faculty of Biochemistry and Molecular Medicine","","Oulu","Biochemistry; Molecular medicine","https://www.oulu.fi/en/university/faculties-and-units","Official faculties and units page.","2026-03-14"
"University of Oulu","Faculty","Faculty of Education and Psychology","","Oulu","Education; Psychology","https://www.oulu.fi/en/university/faculties-and-units","Official faculties and units page.","2026-03-14"
"University of Oulu","Faculty","Faculty of Humanities","","Oulu","Humanities","https://www.oulu.fi/en/university/faculties-and-units","Official faculties and units page.","2026-03-14"
"University of Oulu","Faculty","Faculty of Information Technology and Electrical Engineering","","Oulu","Information technology; Electrical engineering","https://www.oulu.fi/en/university/faculties-and-units","Official faculties and units page.","2026-03-14"
"University of Oulu","Unit","Centre for Wireless Communications","Faculty of Information Technology and Electrical Engineering","Oulu","Wireless communications; 6G","https://www.oulu.fi/en/research/research-units/centre-wireless-communications","Official research unit page.","2026-03-14"
"University of Oulu","Unit","Computer Science and Engineering","Faculty of Information Technology and Electrical Engineering","Oulu","Computer science; Engineering","https://www.oulu.fi/en/research/research-units/computer-science-and-engineering","Official research unit page.","2026-03-14"
"University of Oulu","Unit","Microelectronics Research Unit","Faculty of Information Technology and Electrical Engineering","Oulu","Microelectronics","https://www.oulu.fi/en/research/research-units/microelectronics-research-unit","Official research unit page.","2026-03-14"
"University of Oulu","Faculty","Faculty of Medicine","","Oulu","Medicine","https://www.oulu.fi/en/university/faculties-and-units","Official faculties and units page.","2026-03-14"
"University of Oulu","Faculty","Faculty of Science","","Oulu","Science","https://www.oulu.fi/en/university/faculties-and-units","Official faculties and units page.","2026-03-14"
"University of Oulu","Faculty","Oulu Business School","","Oulu","Business","https://www.oulu.fi/en/university/faculties-and-units","Official faculties and units page.","2026-03-14"
"University of Oulu","Faculty","Oulu Mining School","","Oulu","Mining","https://www.oulu.fi/en/university/faculties-and-units","Official faculties and units page.","2026-03-14"
"University of Oulu","Faculty","Faculty of Technology","","Oulu","Technology","https://www.oulu.fi/en/university/faculties-and-units","Official faculties and units page.","2026-03-14"
"University of Oulu","Unit","Industrial Engineering and Management","Faculty of Technology","Oulu","Industrial engineering; Management","https://www.oulu.fi/en/research/research-units/industrial-engineering-and-management","Official research unit page.","2026-03-14"
"University of Oulu","Unit","Water, Energy and Environmental Engineering","Faculty of Technology","Oulu","Water; Energy; Environmental engineering","https://www.oulu.fi/en/research/research-units/water-energy-and-environmental-engineering","Official research unit page.","2026-03-14"
